metric,group,n,threshold_q75,score_median,pass_rate,eta_median
spectral_only,all,140000,0.9996497631072998,0.9980698823928833,0.25000714285714287,0.6556291580200195
spectral_only,high_eta_ge_0.95,19194,0.9996497631072998,0.9974855184555054,0.22210065645514224,0.9735125303268433
spectral_only,nonhigh_eta_lt_0.85,96559,0.9996497631072998,0.998190701007843,0.2571691918930395,0.46091794967651367
spectral_only,top10_eta,14000,0.9996497631072998,0.9974103569984436,0.21828571428571428,0.9791237115859985
spectral_only,bottom50_eta,70000,0.9996497631072998,0.9981958270072937,0.2591428571428571,0.3403804302215576
bath_x_coupling,all,140000,0.3444051444530487,0.26802462339401245,0.25,0.6556291580200195
bath_x_coupling,high_eta_ge_0.95,19194,0.3444051444530487,0.2631986439228058,0.18995519433156194,0.9735125303268433
bath_x_coupling,nonhigh_eta_lt_0.85,96559,0.3444051444530487,0.26799482107162476,0.263372652989364,0.46091794967651367
bath_x_coupling,top10_eta,14000,0.3444051444530487,0.26162034273147583,0.1815,0.9791237115859985
bath_x_coupling,bottom50_eta,70000,0.3444051444530487,0.265028715133667,0.2650857142857143,0.3403804302215576
bath_x_path,all,140000,0.6218692064285278,0.3991353213787079,0.25,0.6556291580200195
bath_x_path,high_eta_ge_0.95,19194,0.6218692064285278,0.4097917377948761,0.18318224445139106,0.9735125303268433
bath_x_path,nonhigh_eta_lt_0.85,96559,0.6218692064285278,0.38593366742134094,0.2621506022224754,0.46091794967651367
bath_x_path,top10_eta,14000,0.6218692064285278,0.40516534447669983,0.17285714285714285,0.9791237115859985
bath_x_path,bottom50_eta,70000,0.6218692064285278,0.37133538722991943,0.25848571428571426,0.3403804302215576
bath_x_coupling_x_path,all,140000,0.03215784952044487,0.0067174918949604034,0.25,0.6556291580200195
bath_x_coupling_x_path,high_eta_ge_0.95,19194,0.03215784952044487,0.05211901664733887,0.6471293112430968,0.9735125303268433
bath_x_coupling_x_path,nonhigh_eta_lt_0.85,96559,0.03215784952044487,0.0029351385310292244,0.12223614577615759,0.46091794967651367
bath_x_coupling_x_path,top10_eta,14000,0.03215784952044487,0.054736487567424774,0.6715714285714286,0.9791237115859985
bath_x_coupling_x_path,bottom50_eta,70000,0.03215784952044487,0.001772462041117251,0.08192857142857143,0.3403804302215576
