context,dynamic_family,n_targets,mean_reduction_vs_random,mean_model_better_vs_random,mean_delta_model_minus_nn,mean_model_better_vs_nn,target_eta_median,target_eta_mean,dominant_structural_mode,dominant_priority_group
c5,D000,59,0.6706153317084886,0.7932203389830509,0.48627162330592677,0.10169491525423728,0.6695798,0.6333568564915255,S002,non_high
c5,D001,50,0.7725025376979789,0.836,0.443637522049371,0.11600000000000002,0.70105555,0.64158586228,S002,non_high
c5,D002,54,0.7372578325942438,0.7925925925925925,0.4121078750803659,0.11481481481481481,0.613028225,0.5475076024814816,S004,non_high
c5,D003,47,0.7063391285787971,0.7829787234042553,0.4462931336377129,0.11914893617021276,0.6937274,0.6110848254042553,S006,non_high
c5,D004,40,0.6858753710508928,0.7849999999999999,0.48383205533708534,0.09,0.65645895,0.5782027148,S002,non_high
c5,D005,28,0.6933948438280998,0.8071428571428572,0.3580051775711611,0.07857142857142857,0.55178755,0.5515568811428571,S002,non_high
c5,D006,38,0.656173157424719,0.8157894736842104,0.47974775979156525,0.13157894736842105,0.578287475,0.5552079147368421,S002,non_high
c5,D007,31,0.6489497741725387,0.7741935483870968,0.4918899403952457,0.09032258064516129,0.7331022,0.6598312658064517,S002,non_high
c5,D008,26,0.6457167853616544,0.8153846153846154,0.598071516188402,0.11538461538461539,0.6861385,0.6042406707692307,S002,non_high
c5,D009,32,0.68508491020706,0.80625,0.44091935640745994,0.125,0.71201345,0.6243048181874999,S000,very_fast
c5,D010,19,0.7041592791254832,0.8421052631578947,0.29743245984656014,0.10526315789473684,0.79485834,0.6366577102631578,S002,late_high
c5,D011,22,0.6007936659721599,0.7545454545454545,0.70839486542519,0.12727272727272726,0.71356778,0.5923124759090909,S002,non_high
c5,D012,7,0.8171356813299215,0.9142857142857143,0.1363082686937681,0.05714285714285714,0.5376436,0.526127025,S000,very_fast
c12,D000,59,0.6789810520898684,0.7898305084745763,0.22050290524391603,0.3525423728813559,0.6695798,0.6333568564915255,S002,non_high
c12,D001,50,0.7336501530613108,0.8640000000000001,0.1889432509061373,0.372,0.70105555,0.64158586228,S002,non_high
c12,D002,54,0.7049591428609407,0.837037037037037,0.15721334700586426,0.40740740740740744,0.613028225,0.5475076024814816,S004,non_high
c12,D003,47,0.6673312479903678,0.8170212765957446,0.16804431108126744,0.3191489361702128,0.6937274,0.6110848254042553,S006,non_high
c12,D004,40,0.6975005643783108,0.77,0.09301240678551052,0.385,0.65645895,0.5782027148,S002,non_high
c12,D005,28,0.715954601784786,0.7785714285714286,0.13024097842881832,0.45,0.55178755,0.5515568811428571,S002,non_high
c12,D006,38,0.5874700690686119,0.7473684210526316,0.2580615943610007,0.3894736842105263,0.578287475,0.5552079147368421,S002,non_high
c12,D007,31,0.6615607505423874,0.767741935483871,0.21719103448202937,0.3806451612903226,0.7331022,0.6598312658064517,S002,non_high
c12,D008,26,0.6900807817473421,0.8307692307692308,0.24186376197808496,0.41538461538461535,0.6861385,0.6042406707692307,S002,non_high
c12,D009,32,0.6338809240823767,0.75,0.16063770208983963,0.3625,0.71201345,0.6243048181874999,S000,very_fast
c12,D010,19,0.7019458867644767,0.8631578947368421,0.32722897158717557,0.35789473684210527,0.79485834,0.6366577102631578,S002,late_high
c12,D011,22,0.5405462986989837,0.7545454545454545,0.3351851756140177,0.3090909090909091,0.71356778,0.5923124759090909,S002,non_high
c12,D012,7,0.7134416776210268,0.9428571428571428,0.3259242408692043,0.34285714285714286,0.5376436,0.526127025,S000,very_fast
c18,D000,59,0.6788022563344157,0.7796610169491526,0.4232154022862842,0.26101694915254237,0.6695798,0.6333568564915255,S002,non_high
c18,D001,50,0.7446011351568311,0.844,0.4076420277014379,0.248,0.70105555,0.64158586228,S002,non_high
c18,D002,54,0.7554218072376009,0.8444444444444444,0.25869984230223886,0.31851851851851853,0.613028225,0.5475076024814816,S004,non_high
c18,D003,47,0.7242603095472995,0.8297872340425532,0.2559999872289814,0.25957446808510637,0.6937274,0.6110848254042553,S006,non_high
c18,D004,40,0.7450415691145263,0.725,0.26893386692909127,0.3,0.65645895,0.5782027148,S002,non_high
c18,D005,28,0.7087696715795878,0.7714285714285715,0.17756405285848761,0.27142857142857146,0.55178755,0.5515568811428571,S002,non_high
c18,D006,38,0.5827004228988613,0.7578947368421053,0.3807563377064247,0.21578947368421053,0.578287475,0.5552079147368421,S002,non_high
c18,D007,31,0.6963541359702916,0.8129032258064516,0.3127665641827817,0.25161290322580643,0.7331022,0.6598312658064517,S002,non_high
c18,D008,26,0.6935839065470433,0.8846153846153847,0.342684395571831,0.3076923076923077,0.6861385,0.6042406707692307,S002,non_high
c18,D009,32,0.6431701201831318,0.81875,0.37836713829930063,0.24375,0.71201345,0.6243048181874999,S000,very_fast
