context,dynamic_family,n_targets,target_eta_median,target_eta_mean,dominant_structural_mode,dominant_priority_group
c5,D008,26,0.6861385,0.6042406707692307,S002,non_high
c5,D007,31,0.7331022,0.6598312658064517,S002,non_high
c5,D004,40,0.65645895,0.5782027148,S002,non_high
c5,D006,38,0.578287475,0.5552079147368421,S002,non_high
c5,D011,22,0.71356778,0.5923124759090909,S002,non_high
c5,D000,59,0.6695798,0.6333568564915255,S002,non_high
c5,D002,54,0.613028225,0.5475076024814816,S004,non_high
c5,D001,50,0.70105555,0.64158586228,S002,non_high
c5,D003,47,0.6937274,0.6110848254042553,S006,non_high
c5,D005,28,0.55178755,0.5515568811428571,S002,non_high
c5,D010,19,0.79485834,0.6366577102631578,S002,late_high
c5,D009,32,0.71201345,0.6243048181874999,S000,very_fast
c5,D012,7,0.5376436,0.526127025,S000,very_fast
c12,D008,26,0.6861385,0.6042406707692307,S002,non_high
c12,D011,22,0.71356778,0.5923124759090909,S002,non_high
c12,D007,31,0.7331022,0.6598312658064517,S002,non_high
c12,D004,40,0.65645895,0.5782027148,S002,non_high
c12,D006,38,0.578287475,0.5552079147368421,S002,non_high
c12,D000,59,0.6695798,0.6333568564915255,S002,non_high
c12,D002,54,0.613028225,0.5475076024814816,S004,non_high
c12,D001,50,0.70105555,0.64158586228,S002,non_high
c12,D003,47,0.6937274,0.6110848254042553,S006,non_high
c12,D010,19,0.79485834,0.6366577102631578,S002,late_high
c12,D005,28,0.55178755,0.5515568811428571,S002,non_high
c12,D009,32,0.71201345,0.6243048181874999,S000,very_fast
c12,D012,7,0.5376436,0.526127025,S000,very_fast
c18,D008,26,0.6861385,0.6042406707692307,S002,non_high
c18,D007,31,0.7331022,0.6598312658064517,S002,non_high
c18,D011,22,0.71356778,0.5923124759090909,S002,non_high
c18,D004,40,0.65645895,0.5782027148,S002,non_high
c18,D006,38,0.578287475,0.5552079147368421,S002,non_high
c18,D000,59,0.6695798,0.6333568564915255,S002,non_high
c18,D002,54,0.613028225,0.5475076024814816,S004,non_high
c18,D001,50,0.70105555,0.64158586228,S002,non_high
c18,D003,47,0.6937274,0.6110848254042553,S006,non_high
c18,D005,28,0.55178755,0.5515568811428571,S002,non_high
c18,D010,19,0.79485834,0.6366577102631578,S002,late_high
c18,D009,32,0.71201345,0.6243048181874999,S000,very_fast
c18,D012,7,0.5376436,0.526127025,S000,very_fast
c25,D008,26,0.6861385,0.6042406707692307,S002,non_high
c25,D011,22,0.71356778,0.5923124759090909,S002,non_high
c25,D006,38,0.578287475,0.5552079147368421,S002,non_high
c25,D007,31,0.7331022,0.6598312658064516,S002,non_high
c25,D004,40,0.65645895,0.5782027148,S002,non_high
c25,D000,59,0.6695798,0.6333568564915255,S002,non_high
c25,D002,54,0.613028225,0.5475076024814816,S004,non_high
c25,D001,50,0.70105555,0.6415858622799999,S002,non_high
c25,D003,47,0.6937274,0.6110848254042553,S006,non_high
c25,D005,28,0.55178755,0.5515568811428571,S002,non_high
c25,D010,19,0.79485834,0.6366577102631578,S002,late_high
c25,D009,32,0.71201345,0.6243048181874999,S000,very_fast
c25,D012,7,0.5376436,0.526127025,S000,very_fast
c26,D008,26,0.6861385,0.6042406707692307,S002,non_high
c26,D007,31,0.7331022,0.6598312658064517,S002,non_high
c26,D011,22,0.71356778,0.5923124759090909,S002,non_high
c26,D006,38,0.578287475,0.5552079147368421,S002,non_high
c26,D004,40,0.65645895,0.5782027148,S002,non_high
c26,D000,59,0.6695798,0.6333568564915255,S002,non_high
c26,D002,54,0.613028225,0.5475076024814816,S004,non_high
c26,D001,50,0.70105555,0.64158586228,S002,non_high
c26,D003,47,0.6937274,0.6110848254042553,S006,non_high
c26,D005,28,0.55178755,0.5515568811428571,S002,non_high
c26,D010,19,0.79485834,0.6366577102631578,S002,late_high
c26,D009,32,0.71201345,0.6243048181874999,S000,very_fast
c26,D012,7,0.5376436,0.526127025,S000,very_fast
c33,D008,26,0.6861385,0.6042406707692307,S002,non_high
c33,D004,40,0.65645895,0.5782027148,S002,non_high
c33,D011,22,0.71356778,0.5923124759090909,S002,non_high
c33,D007,31,0.7331022,0.6598312658064517,S002,non_high
c33,D006,38,0.578287475,0.5552079147368421,S002,non_high
c33,D000,59,0.6695798,0.6333568564915255,S002,non_high
c33,D002,54,0.613028225,0.5475076024814816,S004,non_high
c33,D001,50,0.70105555,0.6415858622799999,S002,non_high
c33,D003,47,0.6937274,0.6110848254042553,S006,non_high
c33,D005,28,0.55178755,0.5515568811428571,S002,non_high
c33,D010,19,0.79485834,0.6366577102631578,S002,late_high
c33,D009,32,0.71201345,0.6243048181874999,S000,very_fast
c33,D012,7,0.5376436,0.526127025,S000,very_fast
