method,target_id,eta,tau_transfer,ipr,purity,c_l1,target_eta,target_tau_transfer,target_ipr,target_purity,target_c_l1,dataset_index,abs_err_eta,abs_err_tau_transfer,abs_err_ipr,abs_err_purity,abs_err_c_l1
model,3,0.7509403881248599,20.34368208195663,0.267259666865757,0.27391741231986394,0.3240150070730949,0.8215711,20.109015,0.26017472,0.27023384,0.29238144,132514,0.07063072355421729,0.23466757084823087,0.007084945386341079,0.003683572569574023,0.0316335714403892
model,1,0.3764337528494486,27.527313262115914,0.6314819691698995,0.6320131688092587,0.09653176884972452,0.19029836,29.206373,0.668512,0.67043525,0.12942995,74123,0.18613538928304996,1.6790599526057655,0.037030017562583395,0.03842208099619171,0.03289818246043326
model,0,0.7426283513138292,19.26368853825284,0.2617911404924359,0.27281192367998236,0.38906044372222376,0.7584671,13.679777,0.24725586,0.26755,0.47606024,33458,0.015838726895094135,5.583911392867098,0.014535278733250112,0.005261932072316344,0.08699979773857641
model,2,0.1740853435355896,21.679791923458865,0.2459854294186957,0.2914642988874563,0.5851394533746891,0.27761433,16.832853,0.26614442,0.30238298,0.5041054,57950,0.10352898174936828,4.846938606198123,0.020158995258199447,0.010918676929270399,0.08103406425649451
model,5,0.8335493518662229,18.24505257374782,0.25774123163792606,0.27284634103173655,0.5173880573719257,0.8926104,17.333122,0.20670004,0.21893375,0.43974382,117269,0.059061019246600566,0.9119303203298514,0.05104118974778171,0.053912594813055215,0.07764424051935614
model,6,0.9127551274081311,5.148342758108392,0.27663514411722234,0.28304924363637896,0.2771295391409212,0.9328691,6.2080483,0.2524332,0.26191923,0.3260561,79622,0.02011394932068966,1.0597055855500557,0.02420193350587896,0.02113001341367693,0.048926553836602604
model,9,0.926658080967656,16.50785266449825,0.23967628407334732,0.2524670231470521,0.4195344131474017,0.9380948,15.09445,0.21274278,0.22207873,0.37097368,15184,0.011436713782557617,1.4134026675500095,0.026933508394712674,0.03038829745144206,0.04856073670430172
model,8,0.9965820085632394,3.4150145936908345,0.2415003297301507,0.2773228387523816,0.7459271148351068,0.99189395,2.958586,0.3242428,0.39422894,0.7152921,71597,0.004688061438758218,0.4564286161365132,0.08274247074401617,0.1169060964893176,0.030635018697106275
model,10,0.42286332699437684,15.876326364968122,0.31286526131264925,0.3413826327607868,0.4847880791022453,0.3533679,15.903919,0.26431936,0.2954089,0.5033014,116513,0.06949543210645265,0.027592855002581018,0.04854590105645418,0.04597372820832707,0.01851330296257403
model,4,0.9739725444927053,5.693458695352497,0.30484771307309805,0.32608332778302723,0.49338569179698183,0.9542749,7.8531504,0.23684888,0.24990356,0.3851833,16005,0.01969765168569848,2.1596916723843194,0.06799883719285665,0.07617976809827381,0.10820238724871828
model,7,0.9882630244706715,6.698134821509463,0.20002197132555116,0.20803215927220048,0.3339330064810467,0.9816332,5.389304,0.2285614,0.24210514,0.4024908,3648,0.0066298381303394605,1.3088306604376854,0.028539430041636338,0.034072982009881125,0.06855778817761421
model,14,0.6554893783158416,19.69020403742007,0.1965407753914253,0.21951462415063164,0.4598628722067343,0.56644064,22.261204,0.2002014,0.22082578,0.4909403,56719,0.08904873643580624,2.5709997284490704,0.003660631683502974,0.0013111523071549225,0.031077430403663064
model,13,0.968201033702537,9.077352794455642,0.2607175909376959,0.31106952883937966,0.5952114204459071,0.6999377,19.408997,0.30825895,0.37106785,0.69473225,8656,0.2682633324772562,10.331643787575608,0.04754135977260071,0.05999832294246543,0.09952082833720444
model,15,0.8733553447348796,17.203943105523045,0.35761319349920306,0.3628464244444096,0.2771868556390913,0.8357882,15.258431,0.35309833,0.35740274,0.2472404,6689,0.03756715437004199,1.9455116708916975,0.004514860617275573,0.005443682535382521,0.029946461285224713
model,12,0.30348905393829084,27.841023431786326,0.6995698594549673,0.7005806515719157,0.1338657819154634,0.17833596,27.576347,0.8260057,0.82681197,0.10525237,105690,0.12515308925857282,0.2646760807121069,0.1264358377953989,0.12623131770832718,0.02861341167715925
model,17,0.7665240723184429,22.753291460467853,0.5401927356111104,0.5480119332615039,0.27412933034257364,0.8213266,20.952593,0.45154494,0.46469358,0.2972435,116679,0.05480254110776561,1.8006986107364078,0.0886477951394612,0.08331835716401548,0.023114175373750212
model,11,0.4701622037802236,22.140398607998836,0.23633096374657883,0.2851918441143775,0.5885385064204633,0.58143514,20.258993,0.23310496,0.26235133,0.45395133,72301,0.11127294016737771,1.8814054591951255,0.003226004616291661,0.02284051001937626,0.13458717742761972
model,16,0.9842297036248789,5.026534533124696,0.27049032404828965,0.2847348006956948,0.3765870645498279,0.97950435,3.3362637,0.2791093,0.30948865,0.4676934,100831,0.004725356777344758,1.6902708765084853,0.008618975134602191,0.024753853440962925,0.09110632391223877
model,21,0.9500507859234396,10.599686542731106,0.1970804244019172,0.20520192065285908,0.3841520707623071,0.90898746,11.489827,0.19924553,0.2113309,0.39048547,123859,0.041063323402840246,0.8901406133357881,0.0021651029847481462,0.00612898490381969,0.006333394764273692
model,22,0.16664853191963241,25.44755430073295,0.29032796007662676,0.3030396726158155,0.3898873623377549,0.14017388,27.405123,0.50211406,0.5138985,0.28082356,23074,0.02647464967361496,1.957568456225058,0.2117860974642668,0.21085881924362054,0.10906380376880043
model,23,0.7918722121612755,15.853501012561495,0.20961234558739653,0.2168429817510338,0.36256143424891396,0.96750814,10.810547,0.21717158,0.2430961,0.46855432,39388,0.17563592506482928,5.042954137561495,0.007559234011983967,0.026253116552761052,0.10599288370228843
model,18,0.020493917226925323,28.62302101419267,0.5031560783245711,0.5166804656849284,0.2182345676766647,0.07165852,30.52825,0.41275868,0.42202425,0.2335222,101305,0.05116460466371493,1.9052287264079162,0.09039740012671038,0.09465621565441085,0.015287638868211412
model,19,0.4227317929026211,22.286679182330086,0.361851644408355,0.36996345717755236,0.28924091067523505,0.44525677,25.671879,0.3178487,0.32355633,0.26838478,84681,0.022524976754513926,3.385199632367179,0.04400293220246815,0.04640712339726366,0.020856126215167303
model,20,0.20614018095238656,28.710575515906086,0.4990076484540153,0.500988525463467,0.17115632461905073,0.11241332,27.629997,0.3617695,0.36447397,0.1772296,29614,0.09372686398728342,1.0805782624881175,0.13723815105945353,0.136514556719189,0.006073273545507685
model,25,0.11237886541782241,26.050294876450497,0.322854861913997,0.33432544762670957,0.3191636157160522,0.14926344,27.982382,0.34924078,0.36339417,0.30188543,20356,0.03688457614483018,1.9320869442282138,0.026385917962712002,0.029068723372817407,0.017278189671588062
model,24,0.7379064767598272,13.453275864152033,0.2842244235681919,0.30673252927329375,0.46494720559822417,0.57894224,12.69378,0.24781907,0.27554154,0.46762252,43478,0.15896423747531185,0.759495918778498,0.03640535752052343,0.031190985312722463,0.002675312941204544
model,29,0.9822500059657115,11.678471202072977,0.3599703799017074,0.3654454968962317,0.27754566208710696,0.95448196,11.806327,0.35742295,0.362317,0.25927675,64630,0.027768046622755005,0.12785566407692528,0.0025474320181014254,0.0031285010370855626,0.018268914383554713
model,28,0.8401844032198555,15.085068401747584,0.24542845461781237,0.2609934436265868,0.3650037852932917,0.85911524,20.116085,0.22340457,0.23826282,0.37446204,966,0.0189308397382133,5.03101665074265,0.02202388320381854,0.022730626362983564,0.009458252985288018
model,26,0.1463986088655824,26.704301457085045,0.21495931832130322,0.27726247718134045,0.6534073182309654,0.17486508,27.49588,0.2087741,0.24231182,0.4174216,16026,0.028466473040736268,0.7915786698680805,0.006185213606909601,0.03495065679350018,0.23598570906768113
model,27,0.8770099680808366,13.523678996717948,0.23197124758758192,0.24194409422077506,0.28774608934953294,0.83776194,10.556422,0.49969897,0.5153278,0.32517964,107466,0.03924802950890671,2.9672567631364046,0.26772771915397997,0.27338371702037484,0.03743354712889113
