target_id,eta,tau_transfer,ipr,purity,c_l1,dataset_index
0,0.7584671,13.679777,0.24725586,0.26755,0.47606024,33458
1,0.19029836,29.206373,0.668512,0.67043525,0.12942995,74123
2,0.27761433,16.832853,0.26614442,0.30238298,0.5041054,57950
3,0.8215711,20.109015,0.26017472,0.27023384,0.29238144,132514
4,0.9542749,7.8531504,0.23684888,0.24990356,0.3851833,16005
5,0.8926104,17.333122,0.20670004,0.21893375,0.43974382,117269
6,0.9328691,6.2080483,0.2524332,0.26191923,0.3260561,79622
7,0.9816332,5.389304,0.2285614,0.24210514,0.4024908,3648
8,0.99189395,2.958586,0.3242428,0.39422894,0.7152921,71597
9,0.9380948,15.09445,0.21274278,0.22207873,0.37097368,15184
10,0.3533679,15.903919,0.26431936,0.2954089,0.5033014,116513
11,0.58143514,20.258993,0.23310496,0.26235133,0.45395133,72301
12,0.17833596,27.576347,0.8260057,0.82681197,0.10525237,105690
13,0.6999377,19.408997,0.30825895,0.37106785,0.69473225,8656
14,0.56644064,22.261204,0.2002014,0.22082578,0.4909403,56719
15,0.8357882,15.258431,0.35309833,0.35740274,0.2472404,6689
16,0.97950435,3.3362637,0.2791093,0.30948865,0.4676934,100831
17,0.8213266,20.952593,0.45154494,0.46469358,0.2972435,116679
18,0.07165852,30.52825,0.41275868,0.42202425,0.2335222,101305
19,0.44525677,25.671879,0.3178487,0.32355633,0.26838478,84681
20,0.11241332,27.629997,0.3617695,0.36447397,0.1772296,29614
21,0.90898746,11.489827,0.19924553,0.2113309,0.39048547,123859
22,0.14017388,27.405123,0.50211406,0.5138985,0.28082356,23074
23,0.96750814,10.810547,0.21717158,0.2430961,0.46855432,39388
24,0.57894224,12.69378,0.24781907,0.27554154,0.46762252,43478
25,0.14926344,27.982382,0.34924078,0.36339417,0.30188543,20356
26,0.17486508,27.49588,0.2087741,0.24231182,0.4174216,16026
27,0.83776194,10.556422,0.49969897,0.5153278,0.32517964,107466
28,0.85911524,20.116085,0.22340457,0.23826282,0.37446204,966
29,0.95448196,11.806327,0.35742295,0.362317,0.25927675,64630
30,0.95581746,7.8988957,0.5376967,0.5409289,0.19346185,54231
31,0.8265191,18.020243,0.25307313,0.26497865,0.3731522,88946
32,0.4251765,26.881758,0.34101763,0.3654213,0.4346095,53973
33,0.26906386,29.479458,0.47149256,0.47205588,0.08023107,3780
34,0.7910845,8.753873,0.32675344,0.330872,0.18104318,33369
35,0.9604588,10.726496,0.26803547,0.27506015,0.2394322,107298
36,0.74816424,20.599714,0.2153853,0.22379883,0.30053902,438
37,0.7057752,20.88893,0.33743313,0.378856,0.4793313,114877
38,0.9171716,11.977125,0.21092434,0.21796142,0.2701651,7605
39,0.8091837,16.048763,0.35426044,0.35733542,0.22742453,15555
40,0.4872733,24.499378,0.6528329,0.65993994,0.2622686,79003
