run,context,metric,model_mae,random_mae,nearest_neighbor_mae,delta_model_minus_nn,delta_nn_minus_random,model_reduction_vs_nn,nn_reduction_vs_random,model_better_fraction_vs_nn,nn_better_fraction_vs_random,model_vs_nn_paired_t_stat_less,model_vs_nn_paired_t_p_less,nn_vs_random_paired_t_stat_less,nn_vs_random_paired_t_p_less
nsf_h27_c5_seed0,c5,eta,0.0917641295937884,0.3410615542224759,0.0113362623461121,0.0804278672476763,-0.3297252918763638,-7.09474294014198,0.966761828749782,0.13,0.974,25.42938088107903,1.0,-41.45269261966047,1.3473080769874547e-219
nsf_h27_c5_seed0,c5,tau_transfer,2.326527796456863,7.81631188311021,0.2797188966975951,2.046808899759268,-7.536592986412614,-7.317377995996026,0.9642134422371218,0.09,0.977,26.917334085150816,1.0,-40.53654256743452,1.6370654964929035e-213
nsf_h27_c5_seed0,c5,ipr,0.0440308048301278,0.1349237933845363,0.0042369230936475,0.0397938817364802,-0.1306868702908887,-9.392165223896392,0.9685976580752348,0.093,0.974,27.56428409898254,1.0,-29.33658626114403,2.9621434138663488e-137
nsf_h27_c5_seed0,c5,purity,0.0470649394940591,0.131247927520999,0.0043231162303144,0.0427418232637447,-0.1269248112906845,-9.886808724695213,0.96706145146846,0.078,0.966,28.401384406463126,1.0,-29.06014215761306,2.3184586206163828e-135
nsf_h27_c5_seed0,c5,c_l1,0.0382474990019814,0.1685578041998682,0.0059156731598444,0.0323318258421369,-0.1626421310400237,-5.465451685465826,0.9649041870951882,0.142,0.975,23.00235193396664,1.0,-36.3299816476648,3.553774681110877e-185
nsf_h27_c12_seed0,c12,eta,0.097845698822518,0.3410615542224759,0.0546591320499444,0.0431865667725736,-0.2864024221725315,-0.7901070718267569,0.8397382191770285,0.405,0.89,12.398738413379618,1.0,-35.13025653147181,5.3626738898791085e-177
nsf_h27_c12_seed0,c12,tau_transfer,2.497969399963192,7.81631188311021,1.5458834005647886,0.9520859993984032,-6.270428482545421,-0.6158847420514115,0.8022234240799432,0.376,0.874,11.098345137761845,1.0,-33.092494032106565,4.8393008366793427e-163
nsf_h27_c12_seed0,c12,ipr,0.049810709954696,0.1349237933845363,0.0209366059904449,0.028874103964251,-0.1139871873940914,-1.3791205688939612,0.8448264352398169,0.308,0.869,16.467443172775962,1.0,-25.705171954615118,1.4833518984424264e-112
nsf_h27_c12_seed0,c12,purity,0.0516898428465092,0.131247927520999,0.0219711767950165,0.0297186660514926,-0.1092767507259824,-1.3526205869060814,0.832597914420391,0.312,0.853,16.68145446372738,1.0,-25.02111429701456,5.776502013166091e-108
nsf_h27_c12_seed0,c12,c_l1,0.0418543164930643,0.1685578041998682,0.0332437098412384,0.0086106066518258,-0.1353140943586298,-0.2590146133794169,0.802775611612622,0.467,0.875,5.65970973760819,0.9999999900983584,-30.35198919846122,3.2103803672752994e-144
nsf_h27_c18_seed0,c18,eta,0.0829420916024454,0.3410615542224759,0.0188804613552571,0.0640616302471883,-0.3221810928672188,-3.3930119101327385,0.9446420708475946,0.217,0.96,22.03079290865931,1.0,-40.44059476891288,7.133291290117837e-213
