context,dynamic_family,metric,n_targets,model_abs_error_mean,model_abs_error_median
c5,D000,c_l1,59,0.05187697109452627,0.0340634388082446
c5,D000,eta,59,0.10235894678707692,0.0718886014676204
c5,D000,ipr,59,0.03788271203956733,0.024210561444867
c5,D000,purity,59,0.0411730382063127,0.0231727037814613
c5,D000,tau_transfer,59,2.5039218182774907,1.6788779698976697
c5,D001,c_l1,50,0.038695186899444275,0.02840945878757055
c5,D001,eta,50,0.07315280120010041,0.03177077506100695
c5,D001,ipr,50,0.0356109729768946,0.0237394682446974
c5,D001,purity,50,0.036716647355250126,0.025599603215482748
c5,D001,tau_transfer,50,2.3366195968186267,2.103616037282144
c5,D002,c_l1,54,0.03425381402665351,0.0258292010790331
c5,D002,eta,54,0.0759113879120207,0.04761564094994465
c5,D002,ipr,54,0.04442603869476459,0.026752134522477
c5,D002,purity,54,0.0463093954605709,0.033194371494598696
c5,D002,tau_transfer,54,2.145376493657896,1.3820690125870652
c5,D003,c_l1,47,0.0371158816051023,0.0287638327345848
c5,D003,eta,47,0.08839179546666484,0.0578768192113792
c5,D003,ipr,47,0.03973683649534963,0.0258349117813732
c5,D003,purity,47,0.042392839514616115,0.0251717160918089
c5,D003,tau_transfer,47,2.3278183146886833,1.5571318249293746
c5,D004,c_l1,40,0.03846419667063332,0.0260228500136125
c5,D004,eta,40,0.10832944729669462,0.0843028141324316
c5,D004,ipr,40,0.04643269377451837,0.024693663827141048
c5,D004,purity,40,0.047161748346787435,0.0305597807803317
c5,D004,tau_transfer,40,2.4613948670850667,1.0824165418229228
c5,D005,c_l1,28,0.05651808920058499,0.028933664429794004
c5,D005,eta,28,0.08706003408854535,0.040265515918240805
c5,D005,ipr,28,0.04359777896755127,0.03159584846214505
c5,D005,purity,28,0.05551001780980281,0.037443825272103354
c5,D005,tau_transfer,28,1.9198611546436013,1.2824791864775502
c5,D006,c_l1,38,0.03824911242973194,0.0224951271526114
c5,D006,eta,38,0.10183791417152692,0.06015809820978435
c5,D006,ipr,38,0.04071051951266693,0.0289070436468084
c5,D006,purity,38,0.04651476631245061,0.0287276594579805
c5,D006,tau_transfer,38,2.522701197992088,1.519912941940957
c5,D007,c_l1,31,0.028797241685112624,0.0245888469383911
c5,D007,eta,31,0.11241039372248628,0.0604289345025932
c5,D007,ipr,31,0.05929519926215371,0.0467055749935355
c5,D007,purity,31,0.059787328328420715,0.0497746212621847
c5,D007,tau_transfer,31,2.4522742261432198,1.6913595149053222
c5,D008,c_l1,26,0.026304701898527186,0.01860787878445875
c5,D008,eta,26,0.1204431503572054,0.0815908370757252
c5,D008,ipr,26,0.039457110230162185,0.03011901762018425
c5,D008,purity,26,0.041529291330381364,0.03556823662177715
c5,D008,tau_transfer,26,3.0150480219103226,2.680847341877227
c5,D009,c_l1,32,0.035711531370968594,0.020588108542361053
c5,D009,eta,32,0.08151633322636613,0.0551032781462976
c5,D009,ipr,32,0.038403980772491464,0.02913947482305425
c5,D009,purity,32,0.04247008839893243,0.03016885256698525
c5,D009,tau_transfer,32,2.2263159598604223,1.2033632289814111
c5,D010,c_l1,19,0.03321650866483055,0.0211125843173241
c5,D010,eta,19,0.05981607312216423,0.057382775647961
c5,D010,ipr,19,0.05801571100200933,0.0507306821093123
c5,D010,purity,19,0.059041725298074374,0.0513688190103453
c5,D010,tau_transfer,19,1.560363751563308,0.9155211535808832
c5,D011,c_l1,22,0.030323588484362108,0.0247639477768938
c5,D011,eta,22,0.14301926779944465,0.1187181876227841
c5,D011,ipr,22,0.036175311405494376,0.0185791103642629
c5,D011,purity,22,0.03794420944608677,0.01927411968874885
c5,D011,tau_transfer,22,3.6796714959673307,2.46331822544483
c5,D012,c_l1,7,0.04531865252147503,0.0221100390185496
c5,D012,eta,7,0.05571447781864648,0.0372541695699676
c5,D012,ipr,7,0.046759486738189006,0.0349703701847807
c5,D012,purity,7,0.04769926217637165,0.0351327894043146
